price,area
598291,1188
1744259,3512
571669,1134
493675,1940
1101539,2208
455235,1785
1489871,2996
821931,3263
299903,1159
321975,1248
863995,3432
968251,3853
576755,2275
356333,698
76647,260
377375,1472
1099099,4380
497643,1956
835571,3318
32023,40
732155,2901
1007072,2017
2209887,4456
297671,1150
1361350,2735
591389,1174
400923,1566
1055051,4203
1656998,3335
336607,1307
1742780,3509
474331,1862
428804,845
449035,1760
269247,1036
275447,1061
690987,2735
301639,1166
555675,2190
2290655,4620
432667,1694
578912,1149
585435,2310
12663,2
970979,3864
1422330,2859
465707,1826
510043,2006
545399,2147
508803,2001
789195,3131
542430,1075
1024327,2052
556915,2195
677099,2679
2410454,4863
535035,1060
606027,1204
326439,1266
1026792,2057
1072315,4272
518425,1026
1585020,3189
734387,2910
932539,3709
89704,157
42423,122
599571,2367
502851,1977
755558,1507
174027,653
515499,2028
2280386,4599
2111203,4256
360911,1405
778035,3086
633451,2503
647683,2561
196108,373
1079543,2164
680075,2691
902556,1805
1041811,4149
366367,1427
55071,173
1329646,2671
492683,1936
478299,1878
1108630,2223
982539,3910
319851,624
227335,867
656958,1307
755715,2996
450027,1764
904528,1809
903049,1806
805067,3195
345287,1342
417703,1634
409084,805
1836450,3699
331151,1285
428699,1678
1057851,2120
2072749,4178
1656012,3333
1442543,2900
505827,1989
375391,1464
266271,1024
444075,1740
135553,250
1587144,3193
470611,1847
667179,2639
1101235,2208
401419,1568
378767,1477
84774,147
267263,1028
293551,1134
766875,3041
126186,231
1001883,3988
1131308,2269
805467,3196
955851,3803
912107,3626
547739,2158
713059,2824
826643,3282
607658,1207
470363,1846
319495,1238
810771,3218
876891,3484
1115532,2237
242215,927
570038,1131
678587,2685
377031,1470
49367,150
545259,2148
1435148,2885
1201523,4793
613574,1219
543523,2141
1045779,4165
654493,1302
621803,1236
204080,389
279319,1076
90699,317
1741794,3507
803331,3188
525668,1041
1219875,4867
357535,1392
667311,1328
496733,982
1405720,2825
1432190,2879
45895,136
355043,1381
953335,1908
273119,1051
497147,1954
45827,68
363639,1416
916171,3643
920139,3659
711971,2819
770099,3054
1009323,4018
930657,1862
1137539,4535
57303,182
218903,833
348607,1356
25121,26
529764,1049
735345,1466
929671,1860
761571,3019
882443,3507
513515,2020
441759,1731
556171,2192
83295,144
969987,3860
1048259,4175
357039,1390
580227,2289
251047,962
643154,1279
577092,1145
1027778,2059
794096,1585
428863,1679
632801,1258
857643,3407
803872,1605
293207,1132
702807,1400
1463163,5848
471107,1849
1294491,2600
719160,1433
380503,1484
336111,1305
1984995,4000
336455,1307
687524,1369
334719,1300
597891,2359
270983,1043
269895,1038
1385848,2785
664353,1322
994291,3958
633142,1259
573641,1138
601363,2373
150219,557
521203,2051
1501210,3019
320347,1243
297175,1148
534542,1059
528395,2080
1118490,2243
2140290,4315
995519,3962
1056443,4208
268999,1035
706599,1408
372319,1451
279567,1077
1379439,2772
372319,1451
1926821,3882
780208,1557
637731,1268
333479,1295
828131,3288
819699,3254
334623,1299
525915,2070
363227,1414
1491350,2999
642661,1278
1038587,4136
577251,2277
1038835,4137
2164940,4365
471695,932
70477,118
848326,1695
274607,1057
262551,1009
289583,1118
399847,1562
401419,1568
548991,1088
345879,1345
432831,1695
364879,1421
25063,52
1164819,4645
1319075,5267
181467,683
859875,3416
1052227,4191
478051,1877
1063883,4238
412042,811
652028,1297
673227,1340
478299,1878
1393479,2800
309823,1199
1062243,4232
181895,344
400839,1566
1989925,4010
1177650,2363
1647631,3316
1540157,3098
120270,219
1673419,3368
323311,1254
229579,877
660331,2612
397463,1553
420763,1646
385959,1506
1410005,2834
85079,294
370831,1445
718915,2847
1093840,2193
610957,1214
1620135,6480
1712366,3447
481943,952
486235,1910
125693,230
1636292,3293
316271,1225
1032215,2068
732387,1460
571547,2254
592627,2339
437627,1714
710543,1416
458211,1797
142779,527
468480,925
367359,1431
571176,1133
484749,958
28039,64
865331,3438
749642,1495
714795,2831
1606247,6424
775059,3074
1615093,3250
295191,1140
386799,1510
845739,3359
884179,3514
608499,2403
332487,1291
317359,1230
714699,2830
517235,2035
439611,1722
300247,1161
1050987,4186
1800613,3626
929067,3695
1181683,4713
246971,476
652521,1298
261063,1003
648084,1289
1039331,4139
315375,1222
945091,3759
1032708,2069
730667,2895
627719,1248
871779,3464
54701,86
676033,1346
1854350,3735
897075,3566
638224,1269
255855,982
785227,3115
614901,1222
547491,2157
479478,947
1644180,3309
391251,1527
454739,1783
544061,1078
870291,3458
1779262,3583
1768416,3561
759995,1516
662722,1319
589758,1171
14151,8
221828,425
863251,3429
45895,136
534843,2106
597305,1186
478340,945
165595,619
277583,1069
285023,1099
260071,999
265431,1020
428367,1677
987499,3930
881451,3503
745782,1487
622939,2460
19359,29
514011,2022
344791,1340
819947,3255
693440,1381
360911,1405
1443681,2902
988739,3935
801099,3179
673720,1341
505083,1986
1603754,3227
635114,1263
137159,504
494116,977
297423,1149
43167,125
378023,1474
687031,1368
1252738,2515
853256,1705
126247,460
704875,2791
1822646,3671
553428,1097
787955,3126
304215,1177
1386834,2787
319343,1238
1699889,3422
60279,194
280903,1083
1131919,4512
224111,854
387695,1513
398731,784
280807,1082
813499,3229
825651,3278
59138,95
268007,1031
578571,1148
710202,1415
855163,3397
1012002,2027
962209,1926
1260631,5031
151329,282
857200,1713
275599,1061
2023297,4078
905259,3599
666173,1326
2011124,4053
304367,1177
136539,252
1009323,4018
784152,1565
346527,1347
534843,2106
541291,2132
571299,2253
725076,1445
309671,1199
875934,1751
868955,3452
1431697,2878
1641222,3303
1013481,2030
912416,1825
1462756,2941
203775,772
542035,2135
513019,2018
439115,1720
435891,1707
1226323,4893
829619,3294
541291,2132
459947,1804
824163,3272
647187,2559
1022355,2048
48375,146
730819,2895
682555,2701
877906,1755
488845,966
730908,1457
884808,1769
302383,1169
525971,2069
652028,1297
1742780,3509
1045526,2095
2519984,5085
522710,1035
914881,1830
1511070,3039
228327,871
2273977,4586
457141,902
301735,1167
716683,2838
599277,1190
490665,970
484901,958
821931,3263
300895,1163
547019,1084
39943,112
928685,1858
1272951,2556
1698069,3418
1075599,2156
364727,1421
361751,1409
241967,926
474396,937
1047991,2100
1287893,2586
665195,2631
1010811,4024
551456,1093
328271,1274
852931,3388
512850,1015
448539,1758
658778,1311
300895,1163
455919,900
125503,457
1586159,6343
490172,969
323215,1253
1953291,3936
358431,1395
908731,3613
502156,993
187419,707
358279,1395
488219,1918
364727,1421
1814910,3655
153939,572
964674,1931
791675,3141
980155,3901
536827,2114
1024451,4079
403155,1575
525667,2069
1061487,4228
1015453,2034
1177303,4695
397451,1552
811763,3222
885419,3519
451763,1771
554414,1099
979563,3898
597305,1186
355951,1385
1631362,3283
45827,68
401583,1569
804365,1606
935267,3720
96239,339
894499,3555
381991,1490
548991,1088
548991,1088
323559,1255
280159,1080
523931,2062
366959,1430
827883,3287
1447966,2911
1003621,2010
283783,1094
1669968,3361
22335,41
1584034,3187
815788,1629
1154972,2317
2018519,4068
1357847,5423
1908428,3845
1636937,3294
1115532,2237
516739,2033
14275,4
342159,1330
833339,3309
103927,370
436635,1710
287255,1108
2341434,4723
1796517,3618
1593894,3207
1538185,3094
26107,28
100455,356
1382303,5521
293303,1133
1723060,3469
244447,936
946827,3766
242959,930
794803,3153
473835,1860
761171,3018
1059823,2124
2026900,4085
626885,1246
450989,890
1030243,2064
1931258,3891
358679,1396
1776304,3577
189783,360
836001,1670
1462415,2940
1701368,3425
535187,1060
340671,1324
710083,2812
678005,1350
784731,3113
1013481,2030
2318756,4677
2056821,4146
304463,1178
872675,3467
1121448,2249
2186375,4408
345383,1343
217675,829
371919,1450
22163,20
557659,2198
1007835,4012
600604,1193
837973,1674
2760720,5573
748163,1492
1935050,3899
859131,3413
495907,1949
258487,992
643988,1281
600604,1193
1321391,5276
1700875,3424
1689688,3401
285023,1099
2289176,4617
546003,2151
660493,1314
661971,2618
1861593,3750
776757,1550
691331,2737
1752640,3529
194611,736
587323,2317
924851,3678
1063767,2132
1145112,2297
354063,1378
370927,1446
891217,1782
1374252,2761
14895,11
309823,1199
869525,1738
382335,1492
765911,1528
989235,3937
1014379,4039
599819,2368
57659,92
51599,159
693963,2747
552783,1096
961223,1924
572787,2259
296927,1147
206267,783
1531776,3081
660902,1315
2947074,5951
580475,2290
545507,2149
626392,1245
789195,3131
723513,1442
2194604,4425
337187,1309
45399,134
517287,1024
325943,1264
470709,930
601097,1194
314631,1219
783743,1564
836258,1671
782757,1562
267275,1029
433907,1699
1043554,2091
432984,853
667311,1328
1256037,2522
182543,687
239487,916
884427,3515
497947,1956
314287,1217
1095812,2197
1828069,3682
689251,2728
1563821,3146
926713,1854
1501210,3019
1434655,2884
668019,2643
998691,2000
283287,1092
1644673,3310
358031,1394
1988294,4007
282791,1090
689989,1374
444075,1740
359175,1398
259339,997
32751,83
299159,1156
547739,2158
824163,3272
375143,1463
1010067,4021
780208,1557
345287,1342
874455,1748
440355,1725
237007,906
825155,3276
335367,1302
345383,1343
1249139,4985
814243,3232
310815,1203
1182675,4717
234679,896
234775,897
647439,1288
1979079,3988
423739,1658
1328508,2669
198083,750
1750175,3524
889635,3536
179375,673
1643839,3308
355455,1383
1708915,3440
1824125,3674
626885,1246
311903,1208
1065867,4246
327679,1271
959819,3819
317111,1229
757378,1511
713059,2824
827883,3287
472595,1855
1317966,2647
1009044,2021
276439,1065
1181271,4711
255015,978
780171,3094
719507,2850
605686,1203
518227,2039
776299,3079
778435,3087
644633,1282
1239275,2488
3074268,6209
872976,1745
401689,790
618504,1229
974699,3879
114591,413
473339,1858
606267,2394
61271,198
1073627,2152
364135,1418
343799,1336
174007,328
1020579,4064
796970,1591
328175,1273
1041582,2087
325791,1264
350495,1363
269151,1035
1127867,4496
476067,1869
1249471,4986
541208,1073
906899,3605
2159517,4354
827043,3283
997705,1998
483507,1899
327527,1271
509299,2003
332983,1293
1222513,2454
905011,3598
515995,2030
966763,3847
963195,1928
301391,1165
299407,1157
908965,1818
769603,3052
552699,2178
34983,92
580884,1153
1408033,2830
361491,1407
333631,1295
1105672,2217
315139,1222
969987,3860
667579,2640
998198,1999
1036159,2076
527651,2077
355455,1383
2132895,4300
604055,1200
1716310,3455
501663,992
354463,1379
315527,1222
286015,1103
522691,2057
364383,1419
212951,809
304615,1178
281895,1087
310911,1204
1843997,3714
254023,974
1351563,5398
979957,1962
321079,1245
419287,1641
2489418,5023
757530,1511
944843,3758
21591,38
409023,1599
800507,3176
1725032,3473
639251,2527
2396157,4834
986859,1976
1408678,2831
996523,3967
263240,509
634621,1262
343022,671
554435,2185
609630,1211
216435,824
1529804,3077
1182087,2372
432748,853
1689536,3401
747035,2961
1777935,3580
1602768,3225
1558631,6232
338427,1314
1189619,4745
305359,1181
349751,1360
739289,1474
443095,1737
529119,1048
729770,1455
391251,1527
752448,1501
252039,966
536331,2112
907491,3608
1096798,2199
1944910,3919
353967,1377
589417,1170
237255,907
71935,241
1291040,2593
393979,1538
709835,2811
433411,1697
680470,1355
1052475,4192
810523,3217
1273443,5083
556915,2195
754971,2993
29065,34
50855,156
358927,1397
728435,2886
515499,2028
549977,1090
312303,1209
536331,2112
308335,1193
750135,1496
510787,2009
972371,3869
830363,3297
582022,1155
313543,1214
638224,1269
455235,1785
249171,956
797875,3166
414811,1622
1144923,2296
320735,1243
516491,2032
910619,3620
573283,2261
71935,241
680571,2693
1288082,2587
464659,1823
376287,1467
1544101,3106
1167383,4655
862011,3424
159710,299
360995,1405
492931,1937
493427,1939
287806,559
1845324,3717
767867,3045
608151,1208
500032,989
483259,1898
795575,1588
498387,1959
727305,1450
1082501,2170
397863,1554
896147,1792
1031722,2067
2228044,4493
120543,437
551561,1094
303871,1175
223863,853
318847,1236
585987,2311
723513,1442
167827,628
407287,1592
1716310,3455
388275,1515
654131,2587
432419,1693
909971,3618
337599,1311
1234345,2478
345631,1344
310319,1201
448539,1758
294447,1137
85327,295
630829,1254
1020083,4062
981436,1965
2158531,4352
668145,1330
611475,2415
888891,3533
286759,1106
1587485,3194
236415,903
959227,3816
746527,2958
517544,1025
381743,1489
633787,1260
1187017,2382
1000170,2003
519752,1029
429533,846
660409,1314
370335,1443
2229030,4495
445309,878
306351,1185
969891,3859
712174,1419
1223347,4881
2058043,4148
1278639,5103
563136,1117
895091,3558
885794,1771
1727497,3478
390175,1523
475487,1867
922771,3669
383811,1497
345383,1343
1009915,4021
497395,1955
906995,3606
1333047,5323
394735,1542
981147,3905
302975,1172
493923,1941
287599,1110
833452,1665
478051,1877
1116211,4449
380751,1485
811351,1620
317359,1230
75903,257
363487,1416
980450,1963
289819,1118
810771,3218
515995,2030
253387,973
371079,1446
291319,1125
1147577,2302
328271,1274
157245,294
342559,1331
647591,1288
2256145,4550
909627,3616
1787150,3599
1107283,4413
1316828,2645
749763,2972
446471,1750
969111,1940
943203,3752
781278,1559
1231880,2473
1158916,2325
583349,1158
1986815,4004
996923,3968
1247163,2504
627595,2480
654000,1301
677171,1348
289335,1117
340079,1321
677099,2679
1538830,3095
1256834,2523
1123420,2253
100550,179
50111,153
258487,992
828113,1654
390519,1525
800355,3176
238259,912
58152,93
669411,2648
827877,1654
515995,2030
506075,1990
669283,1332
851939,3384
278423,1073
335615,1303
280407,1081
1510729,3038
1030983,4105
1204272,2417
849707,3375
515003,2026
546499,2153
632308,1257
690987,2735
1893638,3815
816723,3242
225859,862
1049470,2103
1768909,3562
792915,3146
323215,1253
367111,1430
692947,1380
816774,1631
1346901,2706
453499,1778
536083,2111
276439,1065
427955,1675
390423,1524
709064,1413
964674,1931
30767,75
1686578,3395
361159,1406
335863,1304
1868988,3765
912699,3629
612095,1216
73919,249
292075,1129
608499,2403
845368,1689
1130843,4508
521203,2051
750259,2974
1484479,5933
709216,1413
815211,1628
1942104,3913
338095,1313
1574174,3167
836315,3321
840435,3337
432183,1693
611475,2415
1647631,3316
728187,2885
326687,1267
670403,2652
634773,1262
518425,1026
1266542,2543
324455,1258
387047,1511
535091,2107
810179,3215
266271,1024
262551,1009
63503,207
373311,1455
430931,1687
2238974,4515
32999,84
435147,1704
380103,1483
681115,1356
500619,1968
26055,56
411255,1608
1606219,3232
96606,171
636252,1265
614560,1221
1140675,2288
613081,1218
285271,1100
1315687,5253
350247,1362
600371,2369
583355,2301
1402610,2819
854075,3392
621643,2456
1558891,3136
1902664,3833
1857156,3741
2164447,4364
995733,1994
837973,1674
497643,1956
301846,587
449035,1760
519219,2043
380751,1485
1464880,2945
302879,1171
813995,3231
821435,3261
1725525,3474
1286835,5137
330751,1284
510787,2009
373095,732
1020876,2045
595011,2348
18367,25
838547,3330
184276,349
833452,1665
91279,319
1409512,2833
261463,1004
322471,1250
1068204,2141
1171734,2351
1166804,2341
845368,1689
491195,1930
281055,1083
992059,3949
2017040,4065
436387,1709
43415,126
283535,1093
285863,1103
487707,964
1572847,3164
200703,759
410306,807
787211,3123
1821167,3668
635759,1264
792311,3142
1117504,2241
263543,1013
2432146,4907
279815,1078
447045,882
1243712,2497
579979,2288
566339,2233
551955,2175
425475,1665
778779,3089
919811,1840
627719,1248
793659,3149
670269,1334
544763,2146
73175,246
137323,505
719259,2849
335367,1302
1418879,2852
1256037,2522
906403,3603
2160844,4357
324799,1260
60031,193
504339,1983
599277,1190
298663,1154
962795,3831
296279,1145
307343,1189
316023,1224
403155,1575
261063,1003
533851,2102
562795,1116
44407,130
2042524,4117
295439,1141
223367,851
962795,3831
266023,1023
1691508,3405
339831,1320
697384,1389
805928,1609
858539,3410
1206737,2422
307591,1190
647098,1287
1438751,2892
322223,1249
346279,1346
285519,1101
285341,554
464411,1822
719076,1433
489936,969
1042075,2088
732803,2903
50264,77
580155,1152
1495294,3007
997667,3971
715473,1426
1765610,3555
342903,1333
710543,1416
904019,3594
545507,2149
799363,3172
493179,1938
1330071,5311
875499,3479
1546802,3111
191387,723
253127,971
622060,1237
366367,1427
884923,3517
907987,3610
2190576,4417
1211927,4834
2034872,4101
1639402,3299
443579,1738
864595,1728
1467215,5864
1614107,3248
1905622,3839
364727,1421
261819,1007
1522561,3062
28079,32
500371,1967
1025443,4083
83095,286
236263,903
840438,1679
600067,2369
1818702,3663
315527,1222
573779,2263
874907,3476
1057683,4213
1955908,3941
650397,1294
1051935,2108
326439,1266
763294,1523
1031722,2067
503595,1980
228091,871
356447,1387
2007180,4045
945931,3763
289487,1117
833043,1664
567083,2236
854419,3394
280159,1080
290727,1122
1249135,2508
606027,1204
298759,1155
524675,2065
774219,3070
235023,898
635339,2510
818211,3248
1721581,3466
1679183,3380
303623,1174
243715,934
380983,748
52839,164
1048977,2102
1609670,3239
517731,2037
639251,2527
309327,1197
922275,3667
1138703,2284
1488392,2993
1895117,3818
279663,1078
657792,1309
1222020,2453
1901033,3830
1154138,2315
273615,1053
696891,1388
722731,2863
294803,1140
662381,1318
2414975,4872
486731,1912
23575,46
493675,1940
672734,1339
1474247,2964
507920,1005
1119035,4461
1099431,4381
791083,3138
399599,1561
433823,1699
663211,2623
368943,1438
1087939,4335
1083063,4315
504091,1982
835323,3317
582363,1156
1880820,3789
1010523,2024
74421,126
785227,3115
747261,1490
302879,1171
395879,1546
364135,1418
409271,1600
39695,111
604805,1202
1509591,3036
731907,2900
218407,831
905514,1811
913843,3633
1166311,2340
228563,871
371616,729
1046512,2097
382239,1491
313379,1213
429939,1683
328175,1273
492683,1936
373807,1457
853579,3390
519904,1029
1230043,4908
845861,1690
2223607,4484
973955,3876
517731,2037
367111,1430
1964373,3958
817676,1633
366203,1426
936573,1874
63007,205
568819,2243
326191,1265
331647,1287
732555,2902
1998306,4027
251887,966
472099,1853
1103563,4398
900451,3579
77143,262
660750,1315
551459,2173
760336,1517
516987,2034
636745,1266
823419,3269
535528,1061
128727,470
23575,46
313047,1212
895654,1791
54327,170
721739,2859
257343,988
564107,2224
696739,1388
1816730,3659
1085952,2177
1257516,2525
383811,1497
525915,2070
429195,1680
1441709,2898
543771,2142
279911,1079
416215,1628
944347,3756
339831,1320
406543,1589
396211,1547
543909,1078
1177467,4696
759339,3010
536083,2111
361903,1409
424731,1662
268407,1032
374574,735
1166143,4650
1973163,3976
694307,2749
456227,1789
691468,1377
1225623,2460
660902,1315
730415,1456
827139,3284
551068,1093
485987,1909
278575,1073
1568258,3155
184853,350
598139,1188
387199,1511
569052,1129
417539,1633
600315,2370
1179129,2366
613574,1219
1352324,2717
703641,1402
1026283,4087
498553,986
893259,3550
120270,219
897323,3567
529635,2085
1163331,4639
1554454,3127
1010030,2023
831851,3303
554262,1099
976013,1954
832347,3305
487227,1914
305359,1181
404395,1580
910937,1822
47135,141
1923370,3875
588659,2323
744059,2949
876243,3482
977675,3891
2753325,5558
636275,2515
745289,1486
575763,2271
785723,3117
700342,1395
194859,737
557372,1105
586427,2314
2021477,4074
653539,2584
562371,2217
307839,1191
817715,3246
342903,1333
1536706,3091
303623,1174
33247,85
399447,1561
758843,3008
801407,1600
1645811,3312
1032883,4113
753586,1503
800107,3175
516491,2032
561627,2214
738796,1473
243951,934
458459,1798
993451,3954
469867,1844
302479,1170
2041197,4114
536579,2113
641675,1276
303719,1175
324055,1257
70477,118
870043,3457
296431,1145
793907,3150
198083,750
457219,1793
31759,79
266175,1023
1705805,3434
433411,1697
557372,1105
392322,771
292807,1131
645126,1283
304711,1179
1168776,2345
966915,3847
380007,1482
2082950,4199
1278867,2568
768611,3048
58295,186
312647,1211
890231,1780
511779,2013
799859,3174
793659,3149
631371,2494
734700,1465
2408566,4859
866567,1732
383327,1496
1858294,3743
362247,1411
725115,2872
1079507,4301
967011,3848
869525,1738
843312,1685
1788629,3602
483270,955
379015,1478
291471,1125
63007,205
1257571,5019
1573681,3166
302135,1168
2640921,5330
58645,94
653848,1301
388687,1517
1570723,3160
289239,1116
795299,3155
941010,1883
1629542,3279
866323,3442
1802926,3631
763155,3026
2432639,4908
447299,1753
41927,120
568075,2240
86071,298
927083,3687
565843,2231
437379,1713
654493,1302
686045,1366
1838081,3702
724123,2868
691483,2737
59783,192
747670,1491
972069,1946
2065438,4163
1651575,3324
1138283,4538
307591,1190
878971,3493
829855,3294
577995,2280
423987,1659
326191,1265
248167,951
1705464,3433
413487,1617
184939,697
747283,2962
896827,3565
510537,1010
523696,1037
595826,1183
491803,972
2148671,4332
755963,2997
1406703,5620
692723,2742
276935,1067
1523888,3065
840035,3336
728291,1452
970387,3861
1219062,2447
270058,523
860567,1720
534595,2105
348015,1353
227239,866
530131,2087
198071,749
1360212,2733
361999,1410
877483,3487
38951,108
1535227,3088
851284,1701
363143,1414
519467,2044
1532269,3082
716283,2837
846883,3363
284527,1097
834438,1667
707585,1410
538067,2119
1801447,3628
161682,303
787459,3124
1842109,3710
975843,3883
770925,1538
497147,1954
369095,1438
538315,2120
473410,935
373063,1454
338343,1314
488693,966
281399,1085
839861,1678
1865773,3758
144920,269
578912,1149
467387,1834
946083,3763
270735,1042
51103,157
740243,2933
231455,883
334127,1297
608492,1209
480779,1888
521203,2051
990475,3942
859875,3416
893189,1786
1627570,3275
283383,1093
54823,172
682101,1358
1061995,4231
486731,1912
901787,3585
293951,1135
951635,3786
1100919,4387
2881269,5818
3061298,6183
826643,3282
312647,1211
745299,2954
97727,345
1029257,2062
825899,3279
173035,649
1774075,3572
409271,1600
1745890,3515
460195,1805
460744,909
252383,968
806830,1611
840435,3337
886659,3524
1137375,4534
886287,1772
110623,397
528795,2081
209987,798
410595,1605
1802926,3631
576106,1143
601590,1195
589417,1170
93648,165
625899,1244
91775,321
312895,1212
394475,1540
686538,1367
273367,1052
925727,1852
545011,2147
807299,3204
594115,2345
2529351,5104
755899,1508
420019,1643
2068312,4169
842763,3347
463915,1820
648084,1289
1323237,2658
901539,3584
319343,1238
446967,1752
658437,1310
213459,812
721491,2858
642379,2539
918155,3651
935171,3719
284527,1097
527640,1045
328423,1274
899307,3575
309575,1198
651555,2576
771835,3061
519963,2046
365955,1425
543416,1077
998011,3973
1296767,2604
588163,2321
854915,3396
1733413,3490
2139304,4313
295285,574
831071,1660
1571216,3161
859581,1718
579731,2287
658437,1310
658899,2605
528395,2080
314287,1217
315527,1222
1290547,2592
335711,1304
900547,3580
1000987,3985
961459,3825
525432,1041
885171,3518
863347,3430
386291,1507
794155,3151
1947118,3923
2060424,4153
444323,1741
981436,1965
1859128,3745
78383,267
1729962,3483
257991,990
856651,3403
26107,28
1817223,3660
395467,1544
1721581,3466
372911,1454
487227,1914
2387519,4816
292311,1129
386799,1510
748179,2965
375887,1466
1479863,5915
332639,1291
266423,1024
202935,768
828131,3288
506323,1991
121256,221
760079,1516
313391,1214
293703,1134
1072895,4274
619907,2449
1075883,4287
662229,1318
1053907,2112
1030736,2065
1811800,3649
483507,1899
955107,3800
727939,2884
645851,2553
291719,1126
697384,1389
1164655,4644
617518,1227
697187,2760
1727156,3477
798371,3168
347367,1351
258595,994
1469199,5872
597587,2359
771587,3060
720062,1435
548483,2161
1748355,3520
43167,125
34488,45
390919,1526
871035,3461
596099,2353
301639,1166
1608684,3237
470611,1847
958579,3814
927827,3690
1103411,4398
1439092,2893
621803,1236
1040596,2085
554755,1100
571051,2252
357935,1393
755219,2994
581963,2296
1253439,5002
919147,3655
953371,3793
968499,3854
585187,2309
1408185,2830
269151,1035
1001731,3988
81323,140
907979,1816
349007,1357
400923,1566
773723,3068
2329602,4699
611450,1215
271479,1045
601059,2373
249407,956
2578567,5204
457467,1794
96487,340
40404,57
1829700,3685
989324,1981
347023,1349
1526012,3069
745039,2952
1101728,2209
1116025,2238
1770881,3566
882595,3507
585321,1162
831755,3302
1049499,4180
902187,3586
930459,3700
231055,882
863843,3432
342807,1332
519467,2044
500123,1966
932291,3708
229567,876
594688,1181
771587,3060
1163331,4639
299999,1160
842903,1684
59039,189
400675,1565
926220,1853
586459,1164
666325,1326
709064,1413
734852,1465
520707,2049
570531,1132
1779262,3583
719011,2848
1392409,2798
585814,1163
485987,1909
855721,1710
504587,1984
453251,1777
751614,1499
655972,1305
838039,3327
101536,181
405303,1584
113368,205
1676718,3375
424979,1663
353719,1376
45399,134
1800120,3625
771339,3059
520211,2047
266767,1026
954814,1911
841275,3341
1565300,3149
967632,1937
14275,4
405869,798
495411,1947
529139,2083
352231,1370
587786,1167
349599,1360
521451,2052
805928,1609
23327,45
1186524,2381
484003,1901
